Name,Nationality
Messi,Argentina
Ronaldo,Portugal
Jr,Brazil
Gea,Spain
Bruyne,Belgium
Hazard,Belgium
Modrić,Croatia
Suárez,Uruguay
Ramos,Spain
Oblak,Slovenia
Lewandowski,Poland
Kroos,Germany
Godín,Uruguay
Silva,Spain
Kanté,France
Dybala,Argentina
Kane,England
Griezmann,France
Stegen,Germany
Courtois,Belgium
Busquets,Spain
Cavani,Uruguay
Neuer,Germany
Agüero,Argentina
Chiellini,Italy
Mbappé,France
Salah,Egypt
Casemiro,Brazil
Rodríguez,Colombia
Insigne,Italy
Isco,Spain
Eriksen,Denmark
Coutinho,Brazil
Aubameyang,Gabon
Hummels,Germany
Marcelo,Brazil
Bale,Wales
Lloris,France
Higuaín,Argentina
Silva,Brazil
Handanovič,Slovenia
Buffon,Italy
Umtiti,France
Icardi,Argentina
Koulibaly,Senegal
Pogba,France
Navas,Costa Rica
Lukaku,Belgium
Immobile,Italy
Alba,Spain
Mertens,Belgium
Vertonghen,Belgium
Hamšík,Slovakia
Rakitić,Croatia
Piqué,Spain
Sané,Germany
Silva,Portugal
Ederson,Brazil
Mané,Senegal
Dijk,Netherlands
Sterling,England
Firmino,Brazil
Varane,France
Verratti,Italy
Sandro,Brazil
Costa,Brazil
Müller,Germany
Thiago,Spain
Reus,Germany
Azpilicueta,Spain
Bonucci,Italy
Alderweireld,Belgium
Pjanić,Bosnia Herzegovina
Benatia,Morocco
Özil,Germany
Fernandinho,Brazil
Iniesta,Spain
Škriniar,Slovakia
Milinković-Savić,Serbia
Asensio,Spain
Fekir,France
Alisson,Brazil
Kimmich,Germany
Saúl,Spain
Mahrez,Algeria
Alaba,Austria
Koke,Spain
Lacazette,France
Manolas,Greece
Otamendi,Argentina
Parejo,Spain
Paulinho,Brazil
Szczęsny,Poland
Sánchez,Chile
Brahimi,Algeria
Boateng,Germany
Vidal,Chile
Perišić,Croatia
Džeko,Bosnia Herzegovina
Khedira,Germany
Costa,Spain
Nainggolan,Belgium
Naldo,Brazil
Matuidi,France
Miranda,Brazil
Benzema,France
Luís,Brazil
Kompany,Belgium
Pepe,Portugal
Ibrahimović,Sweden
Sánchez,Colombia
Giménez,Uruguay
Telles,Brazil
Laporte,France
Fernandes,Portugal
Süle,Germany
Martial,France
Alli,England
Fabinho,Brazil
Marquinhos,Brazil
Carvalho,Portugal
Jorginho,Italy
Thauvin,France
Carvajal,Spain
Depay,Netherlands
Son,Korea Republic
Lopes,Portugal
Vrij,Netherlands
Perin,Italy
Cuadrado,Colombia
Aspas,Spain
Leno,Germany
Matić,Serbia
Hrádecký,Finland
Illarramendi,Spain
Walker,England
Gündoğan,Germany
Callejón,Spain
María,Argentina
Mandžukić,Croatia
Willian,Brazil
Asenjo,Spain
Banega,Argentina
Witsel,Belgium
Payet,France
Jonas,Brazil
Sokratis,Greece
Ruffier,France
Falcao,Colombia
Schmeichel,Denmark
Albiol,Spain
Gómez,Argentina
Barzagli,Italy
Quaresma,Portugal
Robben,Netherlands
Dembélé,France
Jesus,Brazil
Cabrais,Brazil
Chiamulera,Brazil
Beretta,Brazil
Kimpembe,France
Keïta,Guinea
Tolisso,France
Lemar,France
Coman,France
Tah,Germany
Talisca,Brazil
Werner,Germany
Rabiot,France
Goretzka,Germany
Promes,Netherlands
Ziyech,Morocco
Vázquez,Spain
Carrasco,Belgium
Moreno,Spain
Felipe,Brazil
Kovačić,Croatia
Kepa,Spain
Trigueros,Spain
Gnabry,Germany
Pickford,England
Savić,Montenegro
Stones,England
Suso,Spain
Draxler,Germany
Anderson,Brazil
Moura,Brazil
Pereira,Portugal
Fernández,Spain
Horn,Germany
Allan,Brazil
Acerbi,Italy
Roberto,Spain
Rodrigo,Spain
Pizzi,Portugal
Kampl,Slovenia
Neto,Brazil
Baumann,Germany
Gueye,Senegal
Mkhitaryan,Armenia
Alonso,Spain
Subašić,Croatia
Glik,Poland
Strootman,Netherlands
Dost,Netherlands
Oscar,Brazil
Balotelli,Italy
Gustavo,Brazil
Giuliano,Brazil
Luiz,Brazil
Fährmann,Germany
Mata,Spain
Adán,Spain
Patrício,Portugal
Sommer,Switzerland
Martínez,Spain
Bender,Germany
Leiva,Brazil
Mandanda,France
Fàbregas,Spain
Dembélé,Belgium
Ribéry,France
Jarstein,Norway
Rossi,Italy
Reina,Spain
Pavlenka,Czech Republic
Ligt,Netherlands
Rodri,Spain
Arthur,Brazil
Donnarumma,Italy
Dourado,Brazil
Mestres,Brazil
Anjos,Brazil
Martins,Portugal
Guedes,Portugal
Torreira,Uruguay
Malcom,Brazil
López,Spain
Hernández,France
Lenglet,France
Kramarić,Croatia
Robertson,Scotland
García,Spain
Bernardeschi,Italy
Brandt,Germany
Rugani,Italy
Castillejo,Spain
Cancelo,Portugal
Romagnoli,Italy
Partey,Ghana
Fred,Brazil
Vardy,England
Belotti,Italy
Forsberg,Sweden
Lingard,England
Vázquez,Argentina
Višća,Bosnia Herzegovina
Rüdiger,Germany
Florenzi,Italy
Maguire,England
Meunier,Belgium
Sané,Senegal
Kondogbia,Central African Rep.
Rafinha,Brazil
Paulista,Brazil
Morata,Spain
Cillessen,Netherlands
Yedder,France
Bakambu,DR Congo
Sarabia,Spain
Zaha,Ivory Coast
Alberto,Spain
Viera,Spain
Bartra,Spain
Coates,Uruguay
José,Brazil
Fernandes,Russia
Ruiz,Spain
Delaney,Denmark
Casteels,Belgium
Götze,Germany
Mustafi,Germany
Pastore,Argentina
Pedro,Spain
Bonaventura,Italy
Bürki,Switzerland
Taison,Brazil
Nzonzi,France
Marlos,Ukraine
Ramsey,Wales
Trippier,England
Kolarov,Serbia
Sigurðsson,Iceland
Giovinco,Italy
Arnautović,Austria
Gaitán,Argentina
Henderson,England
Kruse,Germany
Parolo,Italy
Fejsa,Serbia
Rami,France
Ćorluka,Croatia
Wijnaldum,Netherlands
Fazio,Argentina
Giroud,France
Marcano,Spain
Guardado,Mexico
Garay,Argentina
Jardel,Brazil
Sirigu,Italy
Viviano,Italy
Koscielny,France
Consigli,Italy
Biglia,Argentina
Alves,Brazil
Villa,Spain
Aduriz,Spain
Čech,Czech Republic
Casillas,Spain
Rashford,England
Santeiro,Brazil
Bailey,Jamaica
Akanji,Switzerland
Jong,Netherlands
Semedo,Portugal
Fornals,Spain
Fabián,Spain
Bailly,Ivory Coast
Ceballos,Spain
Lozano,Mexico
Morales,Spain
Seri,Ivory Coast
Politano,Italy
Brozović,Croatia
Williams,Spain
Correa,Argentina
Christensen,Denmark
Mário,Portugal
Strakosha,Albania
Hysaj,Albania
Zieliński,Poland
Pereira,Portugal
Grimaldo,Spain
Guerreiro,Portugal
Doucouré,France
Martínez,Venezuela
Bacca,Colombia
Plea,France
Davies,Wales
Nastasić,Serbia
Milik,Poland
Sabitzer,Austria
Mendy,France
Kramer,Germany
Vrsaljko,Croatia
Hazard,Belgium
Bellarabi,Germany
Zaza,Italy
Ghoulam,Algeria
Lecomte,France
Iličić,Slovenia
Volland,Germany
Alcácer,Spain
Vitolo,Spain
Xhaka,Switzerland
Tadić,Serbia
Aránguiz,Chile
Verdi,Italy
Lovren,Croatia
Medel,Chile
Shaqiri,Switzerland
Corona,Mexico
Areola,France
Vogt,Germany
Herrera,Spain
Salvio,Argentina
Shaarawy,Italy
Smalling,England
Hulk,Brazil
Kagawa,Japan
Lanzini,Argentina
Smolov,Russia
Stindl,Germany
Toprak,Turkey
Perotti,Argentina
Muslera,Uruguay
Höwedes,Germany
Kjær,Denmark
Bender,Germany
Valbuena,France
León,Spain
Boateng,Ghana
Piszczek,Poland
Candreva,Italy
Wass,Denmark
Lamela,Argentina
Rose,England
Vela,Mexico
Augusto,Brazil
Valencia,Ecuador
Fabiański,Poland
Moutinho,Portugal
Valero,Spain
Quagliarella,Italy
Gomis,France
Fernandes,Portugal
Herrera,Mexico
Raffael,Brazil
Nani,Portugal
Milner,England
Mathieu,France
Joaquín,Spain
Gómez,Uruguay
Havertz,Germany
Ndombele,France
Aouar,France
Soler,Spain
Odriozola,Spain
Almirón,Paraguay
Dano,Brazil
Andrão,Brazil
Oyarzabal,Spain
Balbuena,Paraguay
Marega,Mali
Pavard,France
Ndidi,Nigeria
Onana,Cameroon
Celso,Argentina
Acuña,Argentina
Neves,Portugal
Mariano,Dominican Republic
Raúl,Brazil
Caldara,Italy
Vecino,Uruguay
Bakayoko,France
Dahoud,Germany
Rafa,Portugal
Baldé,Senegal
Rulli,Argentina
Armani,Argentina
Lopes,Portugal
Mina,Spain
Demirbay,Germany
Gayà,Spain
Gomes,Portugal
Tagliafico,Argentina
Sanson,France
Pacheco,Spain
Can,Germany
Çalhanoğlu,Turkey
Ginter,Germany
Keane,England
Paredes,Argentina
Stepanenko,Ukraine
Shaw,England
Feddal,Morocco
Haller,France
Bernard,Brazil
Inui,Japan
Portu,Spain
Batshuayi,Belgium
Zahavi,Israel
Vaclík,Czech Republic
Pope,England
Bellerín,Spain
Kadeřábek,Czech Republic
Butland,England
Vestergaard,Denmark
Tarkowski,England
Deulofeu,Spain
Dier,England
Murillo,Colombia
Badelj,Croatia
Ismaily,Brazil
Schulz,Germany
Digne,France
Uth,Germany
Tello,Spain
Vida,Croatia
Muriel,Colombia
Aboubakar,Cameroon
Oxlade-Chamberlain,England
Aurier,Ivory Coast
Matip,Cameroon
Rakitskyi,Ukraine
Enrich,Spain
Yarmolenko,Ukraine
Mallo,Spain
Almeida,Portugal
Didavi,Germany
Rodríguez,Switzerland
Pereyra,Argentina
Gaspar,Spain
Maicon,Brazil
Blind,Netherlands
Zoet,Netherlands
Ljajić,Serbia
Canales,Spain
Falqué,Spain
Jong,Netherlands
Guaita,Spain
Muniain,Spain
Susaeta,Spain
Rudy,Germany
Trapp,Germany
Wanyama,Kenya
Nkoulou,Cameroon
Boudebouz,Algeria
Camacho,Spain
Ulreich,Germany
Musacchio,Argentina
Stuani,Uruguay
Gulácsi,Hungary
Bruno,Spain
Delph,England
Lallana,England
Marcelo,Brazil
Coleman,Republic of Ireland
Pato,Brazil
Antunes,Portugal
Monreal,Spain
Beñat,Spain
Fernández,Argentina
Gameiro,France
Piatti,Argentina
Birsa,Slovenia
Romero,Argentina
Criscito,Italy
Valeri,Argentina
Sturridge,England
García,Spain
Defour,Belgium
Škrtel,Slovakia
Radu,Romania
Cahill,England
Diarra,France
Perrin,France
Dante,Brazil
Granqvist,Sweden
Gignac,France
Gómez,Germany
Akinfeev,Russia
Denisov,Russia
Juanfran,Spain
López,Spain
Cazorla,Spain
Navas,Spain
Mascherano,Argentina
Mirante,Italy
Srna,Croatia
Schweinsteiger,Germany
Moyá,Spain
Rooney,England
Torres,Spain
Sorrentino,Italy
Tsygankov,Ukraine
Dias,Portugal
Neres,Brazil
Raphinha,Brazil
Harit,Morocco
Richarlison,Brazil
Martínez,Argentina
Kessié,Ivory Coast
Santos,Brazil
Prestão,Brazil
Parrela,Brazil
Chiamuloira,Brazil
Catarino,Brazil
Lunev,Russia
Silva,Portugal
Pulisic,United States
Dmitrović,Serbia
Tousart,France
Llorente,Spain
Verbič,Slovenia
Bergwijn,Netherlands
Diallo,France
Golovin,Russia
Campaña,Uruguay
Pavón,Argentina
Toko-Ekambi,Cameroon
Granell,Spain
Cervi,Argentina
Weigl,Germany
Lindelöf,Sweden
Rebić,Croatia
Sanabria,Paraguay
Battaglia,Argentina
Philipp,Germany
Saint-Maximin,France
Zappacosta,Italy
Alario,Argentina
Benedetto,Argentina
Marcone,Argentina
Gbamin,Ivory Coast
Lerma,Colombia
Horta,Portugal
Zobnin,Russia
Meyer,Germany
Bruma,Portugal
Centurión,Argentina
Jonny,Spain
Otávio,Brazil
Hofmann,Germany
Aké,Netherlands
Hector,Germany
Kolašinac,Bosnia Herzegovina
Pizarro,Argentina
Roger,Spain
Rico,Spain
Milivojević,Serbia
Baselli,Italy
Rekik,Netherlands
Suárez,Spain
Orban,Hungary
Rui,Portugal
Martínez,Spain
Zouma,France
Mesa,Spain
Brooks,United States
Karius,Germany
Luís,Cape Verde
Klaassen,Netherlands
Elyounoussi,Norway
Bittencourt,Germany
Darder,Spain
Roussillon,France
Demme,Germany
Gouweleeuw,Netherlands
Rojo,Argentina
Veretout,France
Kurzawa,France
Ramírez,Uruguay
López,Spain
Tătăruşanu,Romania
Mandi,Algeria
Sidibé,France
Konoplyanka,Ukraine
Berghuis,Netherlands
Vanaken,Belgium
Campaña,Spain
Ginkel,Netherlands
Nolito,Spain
Gregoritsch,Austria
Gómez,Spain
Danilo,Brazil
Barkley,England
Ryan,Australia
León,Spain
Stambouli,France
Guilavogui,France
Oliveira,Portugal
Caligiuri,Italy
Wilson,England
Jones,England
García,Spain
Belhanda,Morocco
Pezzella,Argentina
Costa,Spain
Tosun,Turkey
Escudero,Spain
García,Spain
Elkeson,Brazil
Goulart,Brazil
Guðmundsson,Iceland
Clyne,England
Hitz,Switzerland
Marcos,Spain
Mee,England
Rafael,Brazil
Iborra,Spain
Wilshere,England
Hübner,Germany
Souza,Brazil
Coquelin,France
Teixeira,Brazil
Dzagoev,Russia
Smolnikov,Russia
M'Vila,France
Asamoah,Ghana
Zieler,Germany
Drinkwater,England
Kalinić,Croatia
Mariano,Brazil
Feghouli,Algeria
Silva,Portugal
Fernando,Brazil
Traoré,Guinea
Mercado,Argentina
Petersen,Germany
Karnezis,Greece
Sakho,France
Sidnei,Brazil
Jovetić,Montenegro
Eder,Italy
Hernández,Mexico
Fabricio,Spain
Casilla,Spain
Ángel,Spain
Schneiderlin,France
Fellaini,Belgium
Wernbloom,Sweden
Ospina,Colombia
Mignolet,Belgium
Begović,Bosnia Herzegovina
Şahin,Turkey
Bertrand,England
Masiello,Italy
Walcott,England
Charles,Brazil
Heaton,England
Arfa,France
Abraham,Argentina
Lavezzi,Argentina
Kalou,Ivory Coast
Farfán,Peru
Babel,Netherlands
Young,England
Hart,England
López,Argentina
Baier,Germany
Yılmaz,Turkey
Adler,Germany
Lichtsteiner,Switzerland
Adebayor,Togo
Belözoğlu,Turkey
Loren,Spain
Militão,Brazil
Chiesa,Italy
Lazzari,Italy
Hakimi,Morocco
Nakajima,Japan
Jović,Serbia
Ascacíbar,Argentina
Lafont,France
Alexander-Arnold,England
Krovinović,Croatia
Pessinho,Brazil
Everticinho,Brazil
Coíntra,Brazil
Esler,Brazil
Lees-Melou,France
Chilwell,England
Novais,Portugal
Calabria,Italy
Mendy,France
Pellegrini,Italy
Soares,Brazil
Podence,Portugal
Díaz,Argentina
Martínez,Argentina
Eggestein,Germany
Trezeguet,Egypt
Amiri,Germany
Vallejo,Spain
Gomez,England
Jota,Portugal
Jordán,Spain
Sousa,Brazil
Marušić,Montenegro
Soria,Spain
Rongier,France
Weghorst,Netherlands
Soma,Syria
Nakamba,Zimbabwe
Petros,Brazil
Maffeo,Spain
Mina,Colombia
Dúbravka,Slovakia
Carlos,Brazil
Djené,Togo
Simeone,Argentina
Meza,Argentina
Bastos,Angola
Lobotka,Slovakia
Tielemans,Belgium
Goiano,Brazil
Tete,Netherlands
Capa,Spain
Sportiello,Italy
Jemerson,Brazil
Maksimović,Serbia
Zapata,Colombia
Correa,Argentina
Rigoni,Argentina
Izquierdoz,Argentina
Barrios,Colombia
